"","COMMONNAME","OTHERNAMES","MAXTL","MINTEMP","MAXTEMP","MUCK","CLAYSILT","SAND","GRAVEL","COBBLE","BOULDER","BEDROCK","VEGETAT","DEBRDETR","LWD","SLOWCURR","MODCURR","FASTCURR","SCINAME"
"1","river.carpsucker",".",64,-6.8,33.3,1,1,1,0,0,0,0,0,0,0,1,0,0,"carpiodes.carpio"
"2","quillback",".",66,-11.7,29.6,0,0,1,1,1,1,1,0,0,0,1,1,0,"carpiodes.cyprinus"
"3","highfin.carpsucker",".",50,-6,31.5,1,1,1,1,0,0,0,0,0,0,0,1,0,"carpiodes.velifer"
"6","blue.sucker",".",93,-6,31.9,0,0,0,1,1,0,0,0,0,0,0,1,1,"cycleptus.elongatus"
"7","alabama.hog.sucker",".",23,0,32.9,0,0,0,1,1,1,1,0,0,0,0,1,1,"hypentelium.etowanum"
"8","northern.hog.sucker",".",61,-8.1,29.3,0,0,0,1,1,1,1,0,0,0,0,1,1,"hypentelium.nigricans"
"9","smallmouth.buffalo",".",112,-4.6,33.3,0,0,0,0,0,0,0,1,1,1,1,1,0,"ictiobus.bubalus"
"10","bigmouth.buffalo",".",123,-8,31.7,0,1,1,1,0,0,0,1,1,1,1,0,0,"ictiobus.cyprinellus"
"11","black.buffalo",".",123,-5.4,31.7,1,1,1,1,1,1,1,1,1,1,1,0,0,"ictiobus.niger"
"12","spotted.sucker",".",50,-3,32.3,0,1,1,1,1,1,1,0,1,0,1,1,0,"minytrema.melanops"
"17","golden.redhorse",".",78,-7,30.7,0,1,1,1,1,0,1,0,0,0,1,0,0,"moxostoma.erythrurum"
"20","blacktail.redhorse",".",51,1.5,33.3,1,1,1,1,1,1,1,0,0,0,1,1,1,"moxostoma.poecilurum"
"21","striped.jumprock",".",28,-0.4,32.4,0,0,1,1,0,0,0,0,0,0,0,1,1,"moxostoma.rupiscartes"
